school_id,school_name,education_level,latitude,longitude
1129,EBF Catolica 1.2 Larifanu,Basic,-8.481570,126.631040
396,EBF Catolica 1.2 Lau Mana,Basic,-8.621920,126.573740
414,EBF Catolica 1.2 Osso Hula,Basic,-8.587140,126.410830
2293,EBF Catolica 1.2 Osso-Uaque,Basic,-8.676710,126.320900
380,EBF Catolica 1.2 Sagrado Coracao de Jesus Sagadate,Basic,-8.524100,126.694850
395,EBF Catolica 1.2 Tabere,Basic,-8.598700,126.546170
419,EBF Catolica 1.2 Uai Cana,Basic,-8.647360,126.430660
2283,EBF Catolica 1.2 Uailacama,Basic,-8.486860,126.311450
415,EBF Catolica 1.2 Veni Doco,Basic,-8.603470,126.370060
1115,EBF Catolica 1.2.3 Darenafa,Basic,-8.566670,126.613360
1555,EPE 30 Agosto Samalari,Pre-School,-8.602448,126.664595
1548,EPE Buibau,Pre-School,-8.504673,126.465135
1122,EPE Centro Eden (PRECEN) Samagia,Pre-School,-8.502657,126.602190
1516,EPE Lebenei,Pre-School,-8.608981,126.676048
1520,EPE Sao Joao de Brito Lavateri,Pre-School,-8.568376,126.683588
720,ESG Catolica St. Antonio Baucau (ESSA),Secondary,-8.453164,126.455637
761,ESG Publico 01 Baucau,Secondary,-8.471960,126.458990
422,ESG Publico Filial Baguia,Secondary,-8.628450,126.654460
1713,ESG Publico Filial Dom Carlos F. X. Belo- Afaca,Secondary,-8.621480,125.384890
984,ESG Publico Filial Kilik Uaigae,Secondary,-8.467850,126.472190
982,ESG Publico Filial Laga,Secondary,-8.477980,126.587040
981,ESG Publico Filial Quelicai,Secondary,-8.603120,126.557010
298,ESG Publico Filial Vemasse,Secondary,-8.510290,126.215030
417,ESG Publico Filial Venilale,Secondary,-8.642460,126.376370
763,ESG Publico No 2 Baucau,Secondary,-8.486250,126.456650
695,Escola Tecnico Dom Bosco Fatumaca,Secondary,-8.566320,126.385961
1918,Pre Escolar Abo - Lir,Pre-School,-8.638678,126.566028
1347,Pre Escolar Amizade Venilale,Pre-School,-8.642969,126.379016
1916,Pre Escolar Antonio de Vasconselhos Afaloicai,Pre-School,-8.669754,126.614159
1332,Pre Escolar Centro Baguia,Pre-School,-8.627824,126.652537
1346,Pre Escolar Centro Sosial Nossa Senhora da Grasa,Pre-School,-8.512341,126.209217
1701,Pre Escolar Comandante Maubuti,Pre-School,-8.479250,126.402968
1341,Pre Escolar Joao Paulo II,Pre-School,-8.470593,126.457301
1514,Pre Escolar Komunidade Baha-Dato,Pre-School,-8.656326,126.361837
1342,Pre Escolar Lari Sula,Pre-School,-8.661164,126.736616
1786,Pre Escolar Letemumo Quelicai,Pre-School,-8.602702,126.557795
1917,Pre Escolar Loilubo,Pre-School,-8.571316,126.336365
1787,Pre Escolar Loreto Gari - Uai,Pre-School,-8.546015,126.413191
1344,Pre Escolar Mary Wilson,Pre-School,-8.497612,126.368145
1711,Pre Escolar Ostico,Pre-School,-8.534739,126.336006
1345,Pre Escolar Rafael Delle Nocche,Pre-School,-8.526734,126.435463
1128,Pre Escolar Santa Ursula,Pre-School,-8.482655,126.453798
